rank,address,balance_raw,balance_formatted,percentage_of_supply
18048,0xd827529d3b5770f43b800869c8659e14c6a8b5a5,999999999994568519,0.999999999994568567,0.000000
18049,0xbc55cb38c04690b359ddd20a35027c8e84115545,999999999994464517,0.999999999994464539,0.000000
18050,0x12f0660be84c10e00718a0060c9a8b859a7708fb,999999999994369610,0.999999999994369615,0.000000
18051,0xb71ef75f5b9b928b68b7e6c3c7b43e5c635ceddf,999999999994244435,0.999999999994244382,0.000000
18052,0xe645430d84e50155e6eb641dcdcd6ba6c74df3ec,999999999994061026,0.999999999994060973,0.000000
18053,0xf7924c8b2d8c3d8dc6660f2f451ac57829649812,999999999994042817,0.999999999994042765,0.000000
18054,0x02a76d7fbb27a07432bf1648b9bdc7fb8c27b865,999999999993967547,0.999999999993967492,0.000000
18055,0xbcc53baf7e189fbe9fa7428516f00556bbcee792,999999999993931845,0.999999999993931854,0.000000
18056,0xf723fc0ef8ae260552df8933157592639231108e,999999999993930405,0.999999999993930411,0.000000
18057,0x39134ebedf0576292227c8ed1da57e1d1440715f,999999999993906801,0.999999999993906763,0.000000
18058,0x635147fcf8a568b88d2101f86b7dcc1333858195,999999999993868431,0.999999999993868460,0.000000
18059,0xf5a1f55ac6afb864f891a5ec01a11fa0bd9f8899,999999999993704802,0.999999999993704813,0.000000
18060,0x75ffd1334b23d1c56697ac00748e939dd4d3b707,999999999993689569,0.999999999993689603,0.000000
18061,0x2d3014bb0744868af46060110a108a67ed14fbd9,999999999993652029,0.999999999993652078,0.000000
18062,0x5e5ed1c7830ce1bb7532c052a3e1fbed2f3e2ad1,999999999993569983,0.999999999993570032,0.000000
18063,0x6acb6a652d1a2e4e456b5828bc7a543134a27ad8,999999999993530376,0.999999999993530397,0.000000
18064,0x5f6a4f00d732933098d56d8acd6b3a0ef08a2dee,999999999993412376,0.999999999993412381,0.000000
18065,0x98b6d6438ba942643190b14708fedfd4f9c56f75,999999999993257049,0.999999999993257060,0.000000
18066,0x8d268dd102d90c401c775de693c6172cff778c0b,999999999993238895,0.999999999993238853,0.000000
18067,0x27cf72ccf12a4ad0993f5dd6d26159678eb4c75b,999999999993197764,0.999999999993197775,0.000000
18068,0x9115cb7fbef899406285463089357389f35733b4,999999999993172238,0.999999999993172239,0.000000
18069,0x29c46221946276f4d3dabf7d5c497e1a4b765317,999999999993137252,0.999999999993137267,0.000000
18070,0x7198d36d225c18a839cc6116884f1b26bf14982a,999999999992936866,0.999999999992936872,0.000000
18071,0xff8d58e0961980a9d3a3af77cfe255f33ca1d477,999999999992935648,0.999999999992935651,0.000000
